ProfessorID,Type,Authors,Paper_Title,Year,Journal_Conference,Processed_Title,Keywords
1,Journal,"16- Abbasi N, Dehghani M, Asemani M, Abolpour R, Mohammadi M (2022/5)",Direct search-based optimal robust observer for polytopic systems using the concept of inverse system ,,,direct search based optimal robust observer polytopic systems using concept inverse system,"using, based"
1,Journal,"17- Zare K, Shasadeghi M, Niknam T, Asemani M, Mobayen S (2022/3)",Constrained Robust Control by a Novel Dynamic Sliding Mode Surface ,,,constrained robust control novel dynamic sliding mode surface,control
1,Journal,"18- Afsharinejad A, Asemani M, Dehghani M, Abolpour R, Vafamand N (2022/2)",Optimal gain scheduling control of proton exchange membrane fuel cell: An LMI approach ,,,optimal gain scheduling control proton exchange membrane fuel cell lmi approach,"approach, control"
1,Journal,"19- Abolpour R, Moradi P, Asemani M (2022/10)",Advanced Stability Conditions for TS Fuzzy Systems via Minimum-Type Multiple Switching Lyapunov Function ,,,advanced stability conditions ts fuzzy systems via minimum type multiple switching lyapunov function,
1,Journal,"20- Rahmanian F, Asemani M (2022/10)",On linear parameter varying control of time delayed positive systems ,,,linear parameter varying control time delayed positive systems,control
1,Journal,"21- Rahmanian F, Asemani M, Dehghani M, Mobayen S (2022/1)",Robust dynamic output feedback control of blood glucose level in diabetic rat with robust descriptor Kalman filter ,,,robust dynamic output feedback control blood glucose level diabetic rat robust descriptor kalman filter,control
1,Journal,"22- Azizi S, Asemani M, Vafamand N, Mobayen S, Fekih A (2022/0)",Adaptive Neural Network Linear Parameter-Varying Control of Shipboard Direct Current Microgrids ,,,adaptive neural network linear parameter varying control shipboard direct current microgrids,control
1,Journal,"23- Vafamand N, Arefi M, Asemani M, Javadi M, Wang F, Catalao J (2022/0)",Dual-EKF-Based Fault Tolerant Predictive Control of Nonlinear DC Microgrids with Actuator and Sensor Faults ,,,dual ekf based fault tolerant predictive control nonlinear dc microgrids actuator sensor faults,"control, based"
1,Journal,"24- مسلمي زاده ع, Rastegar M, Shabaninia F, Asemani M (2021/9)",Optimal Structuring of Microgrid Distributed State Estimation ,,,optimal structuring microgrid distributed state estimation,
1,Journal,"25- زارع , Shasadeghi M, ايزديان , Niknam T, Asemani M (2021/4)",Fuzzy modeling and control of a class of non differentiable multi input multi output nonlinear systems ,,,fuzzy modeling control class non differentiable multi input multi output nonlinear systems,control
1,Journal,"26- Azizi S, Asemani M, Vafamand N, Mobayen S, Khooban M (2021/2)",A Linear Parameter Varying Control Approach for DC/DC Converters in All-Electric Boats ,,,linear parameter varying control approach dc dc converters electric boats,"approach, control"
1,Journal,"27- Echreshavi Z, Shasadeghi M, Asemani M (2021/1)",Hinf dynamic observer-based fuzzy integral sliding mode control with input magnitude and rate constraints ,,,hinf dynamic observer based fuzzy integral sliding mode control input magnitude rate constraints,"control, based"
1,Journal,"28- عچرشاوي , Shasadeghi M, Asemani M, Mobayen S, فکيه (2021/0)",Fuzzy Reset-Based H Unknown Input Observer Design for Uncertain Nonlinear Systems With Unmeasurable Premise Variables ,,,fuzzy reset based h unknown input observer design uncertain nonlinear systems unmeasurable premise variables,based
1,Journal,"29- Vafamand N, Asemani M, Mobayen S, Pujol Vazquez G (2021/0)",Robust Polytopic-LPV Body-Weight-Dependent Control of Blood Glucose in Type-1 Diabetes ,,,robust polytopic lpv body weight dependent control blood glucose type 1 diabetes,control
1,Journal,"30- Akbari M, Asemani M, Vafamand N, Mobayen S, Fekih A (2021/0)",Observer-Based Predictive Control of Nonlinear Clutchless Automated Manual Transmission for Pure Electric Vehicles: An LPV Approach ,,,observer based predictive control nonlinear clutchless automated manual transmission pure electric vehicles lpv approach,"approach, control, based"
1,Journal,"31- Zare I, Setoodeh P, Asemani M (2021/0)",T-S Fuzzy tracking control of nonlinear constrained time-delay systems using a reference-management approach ,,,fuzzy tracking control nonlinear constrained time delay systems using reference management approach,"using, approach, control"
1,Journal,"32- NajarzadehMehdikhani R, Dehghani M, Asemani M, Abolpour R (2021/0)",Optimal Robust LPV Control Design for Novel Covid-19 Disease ,,,optimal robust lpv control design novel covid 19 disease,control
1,Journal,"33- Vafamand N, Arefi M, Asemani M, Dragicvic T (2021/0)",Decentralized Robust Disturbance-Observer based LFC of Interconnected Systems ,,,decentralized robust disturbance observer based lfc interconnected systems,based
1,Journal,"34- Zare I, Setoodeh P, Asemani M (2021/0)",Fault-Tolerant Tracking Control of Discrete-Time T-S Fuzzy Systems with Input Constraint ,,,fault tolerant tracking control discrete time fuzzy systems input constraint,control
1,Journal,"35- Vafamand N, Asemani M, Derajevich T, Blaabjerg F, Khooban M (2020/9)",Fuzzy-Observer-Based Predictive Stabilization of DC Microgrids With Power Buffers Through an Imperfect 5G Network ,,,fuzzy observer based predictive stabilization dc microgrids power buffers imperfect 5g network,based
1,Journal,"36- Yazdi S, Khayatian A, Asemani M (2020/7)",Optimal robust model predictive reset control design for performance improvement of uncertain linear system ,,,optimal robust model predictive reset control design performance improvement uncertain linear system,"model, control"
1,Journal,"37- Abbasghorbani M, Asemani M, Vafamand N, Mobayen S (2020/12)",Inexact induced L2 observer based control of polytopic LPV systems: application to clutchless automated manual transmission of pure electric vehicles ,,,inexact induced l2 observer based control polytopic lpv systems application clutchless automated manual transmission pure electric vehicles,"control, based"
1,Journal,"38- Tavazoei M, Asemani M (2020/12)",Robust stability analysis of incommensurate fractional-order systems with time-varying interval uncertainties ,,,robust stability analysis incommensurate fractional order systems time varying interval uncertainties,analysis
1,Journal,"39- Hosseini I, Mirzaei M, Asemani M (2020/12)",Nonlinear Output Feedback for HL-20 Flight Control Using Back-Stepping Observer ,,,nonlinear output feedback hl 20 flight control using back stepping observer,"using, control"
1,Journal,"40- Zare K, Shasadeghi M, Izadian A, Niknam T, Asemani M (2020/11)",Switching TS fuzzy model-based dynamic sliding mode observer design for non-differentiable nonlinear systems ,,,switching ts fuzzy model based dynamic sliding mode observer design non differentiable nonlinear systems,"model, based"
1,Journal,"41- Tavazoei M, Asemani M (2020/11)",On robust stability of incommensurate fractional-order systems ,,,robust stability incommensurate fractional order systems,
1,Journal,"42- Karami ghanavati A, Asemani M (2020/11)",Observer-based consensus control of multi-agent linear parameter varying systems ,,,observer based consensus control multi agent linear parameter varying systems,"control, based"
1,Journal,"43- Ebrahimi Z, Asemani M, Safavi A (2020/11)",Observer?based controller design for uncertain disturbed Takagi?Sugeno fuzzy systems: A fuzzy wavelet neural network approach ,,,observer based controller design uncertain disturbed takagi sugeno fuzzy systems fuzzy wavelet neural network approach,"approach, based"
1,Journal,"44- Ebrahimi Z, Asemani M, Safavi A (2020/0)",Observer based controller design for uncertain disturbed Takagi Sugeno fuzzy systems: A fuzzy wavelet neural network approach ,,,observer based controller design uncertain disturbed takagi sugeno fuzzy systems fuzzy wavelet neural network approach,"approach, based"
1,Journal,"45- Vafamand N, Khooban M, Dragicvic T, Boudjadar J, Asemani M (2019/9)",Time-Delayed Stabilizing Secondary Load Frequency Control of Shipboard Microgrids ,,,time delayed stabilizing secondary load frequency control shipboard microgrids,control
1,Journal,"46- Torabi farsani K, Asemani M, بادفر , Vafamand N, Khooban M (2019/12)",Robust Mixed $\mu$ -Synthesis Frequency Regulation in AC Mobile Power Grids ,,,robust mixed mu synthesis frequency regulation ac mobile power grids,
1,Journal,"47- Azodi P, Setoodeh P, Khayatian A, Asemani M (2019/12)",Uncertainty Decomposition of Quantum Networks in SLH Framework ,,,uncertainty decomposition quantum networks slh framework,
1,Journal,"48- Rastegari A, Arefi M, Asemani M (2019/1)",Robust H ? sliding mode observer-based fault-tolerant control for One-sided Lipschitz nonlinear systems ,,,robust h sliding mode observer based fault tolerant control one sided lipschitz nonlinear systems,"control, based"
1,Journal,"49- Tavazoei M, Asemani M (2018/9)",Robust Stability Analysis of Uncertain Linear Fractional-Order Systems with Time-Varying Uncertainty For 0<a<2< font=,,,robust stability analysis uncertain linear fractional order systems time varying uncertainty 0 2 font,analysis
1,Journal,"50- Kardan M, Asemani M, Khayatian A, Vafamand N, Khooban M, Dragicvic T, Blaabjerg F (2018/9)",Improved Stabilization of Nonlinear DC Microgrids: Cubature Kalman Filter Approach ,,,improved stabilization nonlinear dc microgrids cubature kalman filter approach,approach
1,Journal,"51- Tavazoei M, Asemani M (2018/7)",Fractional-order-dependent global stability analysis and observer-based synthesis for a class of nonlinear fractional-order systems ,,,fractional order dependent global stability analysis observer based synthesis class nonlinear fractional order systems,"analysis, based"
1,Journal,"52- Naseri A, Asemani M (2018/5)",Non-Fragile Robust Strictly Dissipative Control of Disturbed T–S Fuzzy Systems with Input Saturation ,,,non fragile robust strictly dissipative control disturbed fuzzy systems input saturation,control
1,Journal,"53- Vafamand N, Asemani M, Khayatian A (2017/9)",TS fuzzy robust L 1 control for nonlinear systems with persistent bounded disturbances ,,,ts fuzzy robust l 1 control nonlinear systems persistent bounded disturbances,control
1,Journal,"54- Asemani M, Vatankhah R (2017/5)",NON-PDC Observer-Based T-S Fuzzy Tracking Controller Design and its Application in CHAOS Control ,,,non pdc observer based fuzzy tracking controller design application chaos control,"control, based"
1,Journal,"55- Asemani M, Vatankhah R, Taghvaei S (2017/3)",A New Design Method for TS Fuzzy Static Output Feedback Control of the Glucose/Insulin Model with Time-Delay ,,,new design method ts fuzzy static output feedback control glucose insulin model time delay,"method, new, model, control"
1,Journal,"56- Azarang A, Miri M, Kamaee S, Asemani M (2017/10)",Nonfragile Fuzzy Output Feedback Synchronization of a New Chaotic System: Design and Implementation ,,,nonfragile fuzzy output feedback synchronization new chaotic system design implementation,new
1,Journal,"57- Vatankhah R, Asemani M (2017/1)",Output feedback control of piezoelectrically actuated non-classical micro-beams using T-S fuzzy model ,,,output feedback control piezoelectrically actuated non classical micro beams using fuzzy model,"model, using, control"
1,Journal,"58- Vafamand N, Asemani M, Khayatian A, Khooban M, Dragicvic T (2017/0)", TS Fuzzy Model-Based Controller Design for a Class of Nonlinear Systems Including Nonsmooth Functions ,,,ts fuzzy model based controller design class nonlinear systems including nonsmooth functions,"model, based"
1,Journal,"59- Vafamand N, Asemani M, Khayatian A (2017/0)",Robust L1 Observer-based Non-PDC Controller Design for Persistent Bounded Disturbed TS Fuzzy Systems ,,,robust l1 observer based non pdc controller design persistent bounded disturbed ts fuzzy systems,based
1,Journal,"60- Asemani M, Vatankhah R (2016/9)",Tracking control of chaotic spinning disks via nonlinear dynamic output feedback with input constraints ,,,tracking control chaotic spinning disks via nonlinear dynamic output feedback input constraints,control
1,Journal,"61- Dadkhahtehrani R, Shabaninia F, Khayatian A, Asemani M (2016/12)",Transient Performance Improvement in Indirect Model Reference Adaptive Control Using Perturbation-based Extremum Seeking Identifier ,,,transient performance improvement indirect model reference adaptive control using perturbation based extremum seeking identifier,"model, using, control, based"
1,Journal,"62- Azarang A, Kamaei bahmaei S, Miri M, Asemani M (2016/12)",A new fractional-order chaotic system and its synchronization via Lyapunov and improved Laplacian-based method ,,,new fractional order chaotic system synchronization via lyapunov improved laplacian based method,"method, new, based"
1,Journal,"63- Vafamand N, Asemani M, Khayatian A (2016/11)",A robust L1 controller design for continuous-time TS systems with persistent bounded disturbance and actuator saturation ,,,robust l1 controller design continuous time ts systems persistent bounded disturbance actuator saturation,
1,Journal,"64- Kohansedgh P, Khayatian A, Asemani M (2016/11)",Conservatism Reduction in Simultaneous Output Feedback Stabilization of Linear Systems ,,,conservatism reduction simultaneous output feedback stabilization linear systems,
1,Journal,"65- Asemani M, Johari Majd V (2015/8)",A Novel Descriptor Redundancy Approach for Non-Quadratic Robust Hinf Control of T-S Fuzzy Nonlinear Singularly Perturbed Systems ,,,novel descriptor redundancy approach non quadratic robust hinf control fuzzy nonlinear singularly perturbed systems,"approach, control"
1,Journal,"66- Arefi M, Asemani M (2015/3)","Discussion: “Robust Stability and Stabilization of Fractional Order Systems Based on Uncertain Takagi–Sugeno Fuzzy Model With the Fractional Order 1 v 2” (Junmin, L., and Yuting, L., 2013), ASME J. Comput. Nonlinear D ",,,discussion robust stability stabilization fractional order systems based uncertain takagi sugeno fuzzy model fractional order 1 v 2 junmin l yuting l 2013 asme j comput nonlinear,"model, based"
1,Journal,"67- Asemani M, Johari Majd V (2015/0)",A Robust Hinf Non-PDC Design Scheme for Singularly-perturbed T-S Fuzzy Systems with Immeasurable State Variables ,,,robust hinf non pdc design scheme singularly perturbed fuzzy systems immeasurable state variables,
1,Journal,"68- Asemani M, Johari Majd V (2014/0)",A Robust Hinf Tracking Design for Uncertain T-S Fuzzy Systems with Unknown Premise Variables Using Descriptor Redundancy Approach ,,,robust hinf tracking design uncertain fuzzy systems unknown premise variables using descriptor redundancy approach,"using, approach"
1,Journal,"69- Asemani M, Yazdanpanah M, Johari Majd V, Golabi A (2013/10)",Hinfinity Control of T-S Fuzzy Singularly Perturbed Systems Using Multiple Lyapunov Functions ,,,hinfinity control fuzzy singularly perturbed systems using multiple lyapunov functions,"using, control"
1,Journal,"70- Asemani M, Johari Majd V (2012/0)",A robust Hinf observer-based controller design for uncertain ts fuzzy systemswith unknown premise variables via LMI ,,,robust hinf observer based controller design uncertain ts fuzzy systemswith unknown premise variables via lmi,based
1,Journal,"71- Asemani M, Johari Majd V (1391/0)",A Non-PDC Hinf Output Feedback Controller Design for T-S Fuzzy Systems with Unknown Premise Variables and Control Constraints via LMI ,,,non pdc hinf output feedback controller design fuzzy systems unknown premise variables control constraints via lmi,control
1,Conference,"1-Hadikhani B, Asemani M",Mobile robot navigation usingtwin delayed deep deterministic policy gradient and fuzzy logic ,,,mobile robot navigation usingtwin delayed deep deterministic policy gradient fuzzy logic,
1,Conference,"2-Rahmanian Koshkaki A, Alavi nasab A, Asemani M",A Control Barrier Function Based Approach for Safe and Efficient Navigation of Unicycle Mobile Robots ,,,control barrier function based approach safe efficient navigation unicycle mobile robots,"approach, control, based"
1,Conference,"3-Alavi nasab A, Asemani M",Control of Mobile Robots Using Control Barrier Functions in Presence of Fault ,,,control mobile robots using control barrier functions presence fault,"using, control"
1,Conference,"4-Najafi S, Setoodeh P, Asemani M",Attention and Autoencoder Hybrid Model for Unsupervised Online Anomaly Detection ,,,attention autoencoder hybrid model unsupervised online anomaly detection,model
1,Conference,"5-Azizi S, Asemani M, Vafamand N, Mobayen S, Fekih A",Design of a Robust µ-synthesis controller for Uncertain and Disturbed Nonlinear Wind turbines ,,,design robust µ synthesis controller uncertain disturbed nonlinear wind turbines,
1,Conference,"6-Echreshavi Z, شاصادقي , Asemani M",Robust Fuzzy Observer-Based Speed Control of Electric Vehicle with Unmeasurable Premise Variables ,,,robust fuzzy observer based speed control electric vehicle unmeasurable premise variables,"control, based"
1,Conference,"7-Tavazoei M, Asemani M",D-Stability Analysis for Tuning Fractional-Order PI Controller ,,,stability analysis tuning fractional order pi controller,analysis
1,Conference,"8-Karimzadeh A, Dehghani M, Asemani M, NajarzadehMehdikhani R",Data-Driven Controller Design for a Synchronous Generator Connected to an Infinite Bus ,,,data driven controller design synchronous generator connected infinite bus,
1,Conference,"9-Fadaei M, Asemani M, Setoodeh P, Esmaeili M",Data-Driven Control for Self-Balancing Two-Wheeled Scooter ,,,data driven control self balancing two wheeled scooter,control
1,Conference,"10-Afsharinejad A, Dehghani M, Asemani M, Vafamand N, جوادي , وانگ , Catalao J",Advanced Control of DC Grid-Connected Proton Exchange Membrane Fuel Cell: A Linear Parameter Varying Approach ,,,advanced control dc grid connected proton exchange membrane fuel cell linear parameter varying approach,"approach, control"
1,Conference,"11-Torabi farsani K, Vafamand N, Arefi M, Asemani M, Javadi M, Catalao J",Robust Controller Design for Frequency Regulation of Power Systems ,,,robust controller design frequency regulation power systems,
1,Conference,"12-Sabouri M, Asemani M",LPV Controller Design for Trajectory Tracking of Non-holonomic Wheeled Mobile Robots in the Presence of Slip ,,,lpv controller design trajectory tracking non holonomic wheeled mobile robots presence slip,
1,Conference,"13-Shayan Z, Sabouri M, شايان , Asemani M, بينا , زارع",Pressure control of cellular electromechanical medical mattress for bedsore prevention ,,,pressure control cellular electromechanical medical mattress bedsore prevention,control
1,Conference,"14-NajarzadehMehdikhani R, Dehghani M, Asemani M, Afsharinejad A",LPV Control of an Influenza Model with Vaccination and Antiviral Treatment ,,,lpv control influenza model vaccination antiviral treatment,"model, control"
1,Conference,"15-Sabouri M, Siamak S, Dehghani M, Mohammadi M, Asemani M",Intelligent GPS Spoofing Attack Detection in Power Grid ,,,intelligent gps spoofing attack detection power grid,
1,Conference,"16-Sabouri M, Setoodeh P, Asemani M",Construction of Lyapunov Functions using Multi- Objective Genetic Algorithm ,,,construction lyapunov functions using multi objective genetic algorithm,using
1,Conference,"17-Afsharinejad A, Asemani M, Dehghani M",Optimal Linear Parameter Varying Controller Design for Proton Exchange Membrane Fuel Cell Using LMI Techniques ,,,optimal linear parameter varying controller design proton exchange membrane fuel cell using lmi techniques,using
1,Conference,"18-Firouzimagham D, Aminaie P, Shayan Z, Sabouri M, Asemani M",Online Transformer Oil Analysis Based on Spectroscopy Technique and Machine Learning Classifier: Experimental Setup ,,,online transformer oil analysis based spectroscopy technique machine learning classifier experimental setup,"analysis, based"
1,Conference,"19-Andalibi M, Setoodeh P, Mansourieh A, Asemani M",Multi-task Deep Reinforcement Learning: A Combination of Rainbow and DisTraL ,,,multi task deep reinforcement learning combination rainbow distral,
1,Conference,"20-Bahrampour E, Asemani M, بادفر , Vafamand N",high-performance robust grid-connected power systems ,,,high performance robust grid connected power systems,
1,Conference,"21-Otoofi F, Asemani M, Vafamand N",Polytopic-LPV robust control of power systems connected to renewable energy sources ,,,polytopic lpv robust control power systems connected renewable energy sources,control
1,Conference,"22-Akbari M, Asemani M, Vafamand N",Robust tracking control of boiler-turbine systems ,,,robust tracking control boiler turbine systems,control
1,Conference,"23-Sato M, Abbasghorbani M, Asemani M",Continuous-Time Observer-Based Gain-Scheduled Output Feedback Controller Design with Simultaneous Optimization of Scaling Matrices ,,,continuous time observer based gain scheduled output feedback controller design simultaneous optimization scaling matrices,based
1,Conference,"24-Mohammadi M, Asemani M, Arefi M",Dynamic Observer-based Controller Design for Polytopic LPV Systems ,,,dynamic observer based controller design polytopic lpv systems,based
1,Conference,"25-Abbasghorbani M, Asemani M",Induced L2-norm observer-based controller design for continuous-time polytopic LPV systems ,,,induced l2 norm observer based controller design continuous time polytopic lpv systems,based
1,Conference,"26-Mobayen S, Asemani M, Johari Majd V",Transient Performance Improvement Using Composite Nonlinear Feedback and Integral Sliding Surface for Matched and Unmatched Uncertain MIMO Linear Systems ,,,transient performance improvement using composite nonlinear feedback integral sliding surface matched unmatched uncertain mimo linear systems,using
1,Conference,"27-Mobayen S, J. Majd V, Asemani M",Robust Tracker Design Using Composite Nonlinear Feedback for Uncertain Dynamical Systems ,,,robust tracker design using composite nonlinear feedback uncertain dynamical systems,using
1,Conference,"28-Asemani M, J. Majd V, Mobayen S",Robust H? observer-based control of uncertain T-S fuzzy systems with control constraints ,,,robust h observer based control uncertain fuzzy systems control constraints,"control, based"
1,Conference,"29-Mobayen S, J. Majd V, Asemani M",Selection of Nonlinear Function in Integral Sliding Mode-Based Composite Nonlinear Feedback Method for Transient Improvement of Uncertain Linear Systems ,,,selection nonlinear function integral sliding mode based composite nonlinear feedback method transient improvement uncertain linear systems,"method, based"
1,Conference,"30-Asemani M, J. Majd V, Mobayen S",A Multiple Lyapunov Function Approach for Robust H? Observer-based Tracking Control of Uncertain TS Fuzzy Systems ,,,multiple lyapunov function approach robust h observer based tracking control uncertain ts fuzzy systems,"approach, control, based"
1,Conference,"31-Asemani M, J. Majd V",A New Dynamic Output Feedback Controller Design for T-S Fuzzy Systems via LMI ,,,new dynamic output feedback controller design fuzzy systems via lmi,new
1,Conference,"32-ZibaeeNejad M, Asemani M, J. Majd V",An Improved Off-Line Approach for Output Feedback Robust Model Predictive Control ,,,improved line approach output feedback robust model predictive control,"model, approach, control"
1,Conference,"33-Asemani M, ZibaeeNejad M, J. Majd V",A LMI-Based Design of Dynamic Output Feedback Controller for TS Fuzzy Systems ,,,lmi based design dynamic output feedback controller ts fuzzy systems,based
1,Conference,"34-Echreshavi Z, فربود , شاصادقي , Asemani M",Reset Method Based Unknown Input Observer Design for Continuous-Time T-S Fuzzy System ,,,reset method based unknown input observer design continuous time fuzzy system,"method, based"
1,Conference,"35-Naseri A, Asemani M, Khayatian A",Non-PDC Strictly Dissipative Controller Design for T-S Fuzzy Systems subject to Input Saturation ,,,non pdc strictly dissipative controller design fuzzy systems subject input saturation,
1,Conference,"36-Naseri A, Asemani M",Unknown Premise Variables Observer-Based Controller Design for T-S Fuzzy Systems with Input Saturation ,,,unknown premise variables observer based controller design fuzzy systems input saturation,based
1,Conference,"37-Miri M, Asemani M",Design and Circuit Implementation of Synchronizing Nonlinear Controller for Unified Chaotic System: A T-S Fuzzy Model Approach ,,,design circuit implementation synchronizing nonlinear controller unified chaotic system fuzzy model approach,"model, approach"
1,Conference,"38-Asemani M, Miri M",A Linear Controller for Synchronization of the Unified Chaotic System Using T-S Model: Design and Analog Circuit Implementation ,,,linear controller synchronization unified chaotic system using model design analog circuit implementation,"model, using"
2,Journal,"1- Jangjoo M, Allahbakhshi M, Mirzaei H (2024/2)",Ultra?high frequency sensors positioning on the power transformer to mitigate the negative effects on the partial discharge localization accuracy ,,,ultra high frequency sensors positioning power transformer mitigate negative effects partial discharge localization accuracy,
2,Journal,"2- Sharifinia S, Allahbakhshi M, Ghanbari T, Pakniat H (2023/8)",Application of a Rogowski Coil Sensor for Separating Internal and External Partial Discharge Pulses in Power Transformers ,,,application rogowski coil sensor separating internal external partial discharge pulses power transformers,
2,Journal,"3- Taherian M, Roshan golak S, Allahbakhshi M, Farjah E, Ghanbari T (2023/5)",A Modular Unipolar/Bipolar High-Voltage Pulse Generator Suitable for High Resistive Load ,,,modular unipolar bipolar high voltage pulse generator suitable high resistive load,
2,Journal,"4- Jangjoo M, Allahbakhshi M, Mirzaei H (2023/5)",UHF sensors positioning on the power transformer tank to enhance the partial discharge localization accuracy ,,,uhf sensors positioning power transformer tank enhance partial discharge localization accuracy,
2,Journal,"5- Sepehrzad R, Nakhaeisharif S, Aldura A, Allahbakhshi M, Moridi A (2022/7)",Islanded micro-grid frequency control based on the optimal-intelligent lyapunov algorithm considering power dynamic and communication uncertainties ,,,islanded micro grid frequency control based optimal intelligent lyapunov algorithm considering power dynamic communication uncertainties,"control, based"
2,Journal,"6- Sepehrzad R, Khojasteh Rahimi M, Aldura A, Allahbakhshi M, Moridi A (2022/7)",Optimal energy management of distributed generation in micro-grid to control the voltage and frequency based on PSO-adaptive virtual impedance method ,,,optimal energy management distributed generation micro grid control voltage frequency based pso adaptive virtual impedance method,"method, control, based"
2,Journal,"7- Goodarzi A, Allahbakhshi M (2022/5)",Online condition monitoring algorithm for element failure detection and fault location in double wye shunt capacitor banks ,,,online condition monitoring algorithm element failure detection fault location double wye shunt capacitor banks,
2,Journal,"8- Bagheri A, Allahbakhshi M, Arefi M, Najafi N, Javadi M (2022/5)",A new approach for top?oil thermal modelling of power transformers using Unscented Kalman filter considering IEEE C57.91 standard ,,,new approach top oil thermal modelling power transformers using unscented kalman filter considering ieee c57 91 standard,"new, using, approach"
2,Journal,"9- Namdar Biloei A, Samet H, Allahbakhshi M, Tajdinian M, Ghanbari T (2022/1)",A Robust Stator Inter-Turn Fault Detection in Induction Motor Utilizing Kalman Filter-Based Algorithm ,,,robust stator inter turn fault detection induction motor utilizing kalman filter based algorithm,based
2,Journal,"10- Ehsanifar A, Allahbakhshi M, Tajdinian M, Dehghani M, Montazeri Z, Malik O, Guerrero (2021/9)",Transformer inter-turn winding fault detection based on no-load active power loss and reactive power ,,,transformer inter turn winding fault detection based load active power loss reactive power,based
2,Journal,"11- Sharifinia S, Allahbakhshi M, Ghanbari T, Akbari A, Mirzaei H (2021/5)",A New Application of Rogowski Coil Sensor for Partial Discharge Localization in Power Transformers ,,,new application rogowski coil sensor partial discharge localization power transformers,new
2,Journal,"12- Sharifinia S, Allahbakhshi M, Arefi M, Tajdinian M, Shafie-Khah M, Niknam T, Catalao J (2021/3)",Extended Kalman Filter-Based Approach for Nodal Pricing in Active Distribution Networks ,,,extended kalman filter based approach nodal pricing active distribution networks,"approach, based"
2,Journal,"13- Behdani B, Allahbakhshi M, Tajdinian M (2021/2)",On the impact of geomagnetically induced currents in driving series capacitor compensated power systems to ferroresonance ,,,impact geomagnetically induced currents driving series capacitor compensated power systems ferroresonance,
