ProfessorID,Course,Level
6,Field and Wave Electromagnetics,Bachelor's
6,Antenna I,Bachelor's
6,Microwave I,Bachelor's
6,Microwave Lab,Bachelor's
6,Electrical Workshop,Bachelor's
6,Electromagnetics,Bachelor's
6,Quantum Electronics,Master's
6,Special topics (Quantom Mechanics),Master's
6,Advanced Electromagnetics,Master's
6,Advanced Electromagnetics,PhD
6,Special topics in Electromagnetics,PhD
6,Periodic Structures & Metamaterial,PhD
6,Quantum Mechanics,PhD
7,Electronics II,Bachelor's
7,Lab. Of Electronics II,Bachelor's
7,Lab. Of Electronics I,Bachelor's
7,Fundamentals of Microprocessors,Bachelor's
7,Electrical Measurement,Bachelor's
7,Pulse Techniques,Bachelor's
7,Communication Circuits,Bachelor's
7,Communication Circuits Lab,Bachelor's
7,Electrical Circuits I,Bachelor's
7,Electrical Circuits II,Bachelor's
7,Electronics II,Bachelor's
7,Logic Circuits,Bachelor's
7,RFIC,Master's
7,RFIC,PhD
8,Design of Linear Integrated Circuits,Master's
8,Electronics III lab,Bachelor's
8,Microcomputers' Principles and lab,Bachelor's
8,Logic Circuits,Bachelor's
8,Lab. Of Logic Circuits,Bachelor's
8,Digital lab II,Bachelor's
8,Microprocessor II,Bachelor's
8,Microprocessor lab II,Bachelor's
8,Lab. Of Logic Circuits,Bachelor's
8,Microprocessor,Bachelor's
8,Lab. Of Microprocessor,Bachelor's
8,Microprocessor,Bachelor's
8,Fundamentals of Microprocessors,Bachelor's
8,Modern Physics,Bachelor's
8,Electronics III,Bachelor's
8,Electronics III Lab,Bachelor's
8,Computer Architecture,Bachelor's
8,Microprocessors I,Bachelor's
8,Microprocessors I Lab,Bachelor's
8,Digital Systems 2,Bachelor's
8,Electronics II,Bachelor's
8,Logic Circuits,Bachelor's
8,Digital Systems Lab 1,Bachelor's
8,Design of Linear Integrated Circuits,Master's
8,Interface Circuits,PhD
8,Lab. of Microprocessor,Bachelor's
9,Physics 2 Lab,Bachelor's
9,Integrated Optics,Master's
9,Semiconductor Devices I,Master's
9,Quantum Electronics,Master's
9,Electronic Circuits lab,Bachelor's
9,Linear Integrated Circuits Design,Bachelor's
9,Linear Integrated Circuits Design lab,Bachelor's
9,Electronics II,Bachelor's
9,Lab. Of Electronics II,Bachelor's
9,Lab. Of Electronics I,Bachelor's
9,Digital VLSI Design,Bachelor's
9,Eectrical Circuits Lab.I,Bachelor's
9,Digital VLSI Design,Bachelor's
9,Electronic Circuits Lab.,Bachelor's
9,Solid State Electronics,Bachelor's
9,Pulse Techniques,Bachelor's
9,Electronics I,Bachelor's
9,Electronics I Lab,Bachelor's
9,Electronics II,Bachelor's
9,Electronics II Lab,Bachelor's
9,Electronic Measurement,Bachelor's
9,Quantum Electronics,Master's
9,Semiconductor Devices I,Master's
9,Quantum Electronics,PhD
9,Integrated Optics,PhD
9,Electrical Engineering laboratory,Bachelor's
9,Pulse Technique,Bachelor's
9,Computer Application in Control,Bachelor's
10,مدارالکتريکي 1,Bachelor's
10,Fields and Waves,Master's
10,Microwave I,Bachelor's
10,Field and Wave Electromagnetics,Bachelor's
10,Communications - fields Analysis Softwares,Bachelor's
10,Engineering Mathematics,Bachelor's
10,Electrical Circuits I,Bachelor's
10,Electromagnetics,Bachelor's
10,Numerical Analysis and Lab,Bachelor's
10,Electron Beam Engineering,Master's
10,Millimeter Wave - Terahertz Sources,Master's
10,Bremsstrahlung Radiation Sources and Systems,PhD
10,Electron Beam Engineering,PhD
10,Microwave Tubes,PhD
11,Spread spectrum communications,Master's
11,Optical communication systems,Master's
11,Advanced Communication Theory,Master's
11,Logic Circuits,Bachelor's
11,Logic Circuits,Bachelor's
11,Analog Filters and Network Synthesis,Bachelor's
11,Digital Systems 1,Bachelor's
11,Logic Circuits,Bachelor's
11,Digital Systems Lab 1,Bachelor's
11,Fundamentals of Communication Systems,Bachelor's
11,Advanced Communication Theory,Master's
11,Spread spectrum communications,Master's
11,Optical communication systems,Master's
11,Optical Communication Systems,PhD
11,Spread spectrum communications,PhD
11,Statistical Optical Communication,PhD
12,Wireless Sensor Networks,Master's
12,Advanced Engineering Mathematics,Master's
12,Special Topics in Communications,Master's
12,Information Systems Security,Master's
12,Computer Networks,Bachelor's
12,Engineering Mathematics,Bachelor's
12,Electrical Circuits I,Bachelor's
12,Wireless Ad Hoc & Sensor Networks,Master's
12,Cryptography,Master's
12,Advanced Engineering Mathematics,Master's
12,Wireless Sensor Networks,PhD
12,Cryptography,PhD
12,Numerical Analysis,Bachelor's
12,Numerical Analysis,Bachelor's
12,Computer Networks,Bachelor's
13,Priodic Structures & Metamaterial,Master's
13,Lab. Of Communication Circuits,Bachelor's
13,Fields and Waves,Bachelor's
13,Microwave I,Bachelor's
13,Lab. Of Microwave,Bachelor's
13,Communication Circuits Lab,Bachelor's
13,Introduction to Electrical Engineering,Bachelor's
13,Analog Filters and Network Synthesis,Bachelor's
13,Field and Wave Electromagnetics,Bachelor's
13,Antenna I,Bachelor's
13,Microwave I,Bachelor's
13,Microwave Lab,Bachelor's
13,Electromagnetics,Bachelor's
13,Guided wave optics,Master's
13,Microwave II,Master's
13,Radio Wave Propagation,Master's
13,Advanced Antennas,Master's
13,Microwave II,Master's
13,Optical Fiber,Master's
13,Periodic Structures & Metamaterial,PhD
13,Photonics & Plasmonics,PhD
13,Metamaterials & Plasmonics,PhD
13,Microwave II,PhD
13,Electromagnetics,Bachelor's
14,Data Processing in Agrometeorology,PhD
14,Advanced Data minning,Master's
14,Management of Information Security,Master's
14,Data minning,Master's
14,Secure Software Development,Master's
14,Advanced software engineering,Master's
14,Data minning,PhD
14,Supply Chain Management,Master's
14,System Engineering,Master's
14,Software Engineering Lab.,Bachelor's
14,Software Engineering,Bachelor's
14,Software Engineering I,Bachelor's
14,Fundamentals of Computer and Programming For Engineering Students,Bachelor's
14,Numerical Analysis,Bachelor's
14,Computer Laboratory,Bachelor's
14,Fundamentals of Computer and Programming,Bachelor's
14,Advanced Programming,Bachelor's
14,System Programming & Assembly Language,Bachelor's
14,Data Structures and Algorithms I,Bachelor's
14,Operating Systems Laboratory,Bachelor's
14,Numerical Analysis,Bachelor's
14,Computer Networks Laboratory,Bachelor's
14,Technical Communication,Bachelor's
14,Real-time Systems,Bachelor's
14,System Analysis and Design,Bachelor's
14,Software Engineering,Bachelor's
14,Formal Software Specification and Verification,Master's
14,Advanced Software Engineering,Master's
14,Text-based Information Retrieval,Master's
14,Data Mining,Master's
14,secured computer systems,Master's
14,Secure Software Development,Master's
14,Management of Information Security,Master's
14,Data Security,Master's
14,Knowledge Acquisition Techniques,PhD
14,Secure Programming,PhD
16,BioInformatic,Master's
16,Computational Biology and Bioinformatics,Master's
16,Neural Networks and deep Learning,Master's
16,Fuzzy sets & systems,Master's
16,Computational Biology and Bioinformatics,PhD
16,Neural networks,PhD
16,Lab. Of Logic Circuits,Bachelor's
16,Microprocessor lab II,Bachelor's
16,Discrete Mathematics,Bachelor's
16,System Programming,Bachelor's
16,Digital Electronics Lab.,Bachelor's
16,Interface Circuits Design Lab.,Bachelor's
16,Discrete Structures,Bachelor's
16,Numerical Analysis Methods,Bachelor's
16,Logic Circuits Lab.,Bachelor's
16,Microprocessor Lab.,Bachelor's
16,Theory of Languages & Automata,Bachelor's
16,Eectrical Circuits Lab.I,Bachelor's
16,Fundamentals of Compiler Design,Bachelor's
16,Computer Lab.,Bachelor's
16,Discrete Structures,Bachelor's
16,Discrete Mathematics,Bachelor's
16,Numerical Analysis,Bachelor's
16,Fundamentals of Computer and Programming For Science Students,Bachelor's
16,Data Structures For Science Students,Bachelor's
16,Computer Laboratory,Bachelor's
16,Electric Circuits - Laboratory,Bachelor's
16,Computer Architecture Laboratory,Bachelor's
16,Theory of Languages & Automata,Bachelor's
16,Technical Communication,Bachelor's
16,Data Communications,Bachelor's
16,Principles of Compiler Design,Bachelor's
16,َMobile Programming,Bachelor's
16,Neural Network and Deap Learning,Master's
16,Fuzzy Sets and Systems,Master's
16,Computational Biology and Bioinformatics,Master's
16,Computational Biology and Bioinformatics,PhD
17,Computer Networks,Bachelor's
17,evalutionary computation,Master's
17,Information Systems Security,Master's
17,Fundamental of Data Security,Master's
17,Evalutionary computation,Master's
17,Advanced Artificial Intelligence,Master's
17,Evalutionary computation,PhD
17,Information Systems Security,PhD
17,Distributed AI,PhD
17,Web Programming Languages,Master's
17,Software Testing and Maintenance,Master's
17,Software Engineering Lab.,Bachelor's
17,Computer Lab.,Bachelor's
17,Computer Networks Lab.,Bachelor's
17,Numerical Analysis,Bachelor's
17,Object Oriented Programming,Bachelor's
17,Computer Laboratory,Bachelor's
17,Advanced Programming,Bachelor's
17,Logic Circuits Design Laboratory,Bachelor's
17,Numerical Analysis,Bachelor's
17,Computer Networks,Bachelor's
17,Computer Networks Laboratory,Bachelor's
17,Database Laboratory,Bachelor's
17,Software Engineering,Bachelor's
17,Programming Principles,Bachelor's
17,Web-based Programming,Bachelor's
17,Online security and privacy Workshop,Bachelor's
17,Advanced Programming,Bachelor's
17,Evolutionary Computation,Master's
17,Special Topics in Computer Engineering,Master's
17,Distributed Artificial Intelligence & Multi-agent Systems,Master's
17,fundamental of data security,Master's
17,Advanced Evolutionary Computation,PhD
18,Discrete Structures,Bachelor's
18,Machine vision,Master's
18,Digital Image Processing,Master's
18,Statistical pattern recognition,Master's
18,پردازش تصاويرديجيتالي,Master's
18,Statistical pattern recognition,PhD
18,Machine vision,PhD
18,Algorithm Design,Bachelor's
18,Computer Architecture Lab.,Bachelor's
18,Artificial Iintelligence,Bachelor's
18,Computer Laboratory,Bachelor's
18,Discrete Structures,Bachelor's
18,Electric Circuits,Bachelor's
18,Electric Circuits - Laboratory,Bachelor's
18,Logic Circuits Design,Bachelor's
18,Logic Circuits Design Laboratory,Bachelor's
18,Computer Architecture,Bachelor's
18,Computer Architecture Laboratory,Bachelor's
18,Design and Analysis of Algorithms,Bachelor's
18,Signals & Systems,Bachelor's
18,Artificial Intelligence,Bachelor's
18,Theory of Computation,Bachelor's
18,Ui/Ux Lab,Bachelor's
18,Computer Graphics I,Bachelor's
18,Machine Vision,Master's
18,Digital Image Processing,Master's
18,Statistical Pattern Recognition,Master's
18,Advanced Artificial Intelligence,Master's
18,Advanced Mathematics in Computer Engineering,Master's
18,Machine Vision,PhD
18,Special Topics in Image Processing,PhD
18,Advanced Machine Vision,PhD
19,Fundamental of Programming,Bachelor's
19,Statistical pattern recognition,Master's
19,Statistical pattern recognition,PhD
19,Information Theory,PhD
19,Advanced mathematics,PhD
19,Data Structure,Bachelor's
19,Design of The Algorithms,Bachelor's
19,Fundamentals of Computer and Programming For Engineering Students,Bachelor's
19,Object Oriented Programming,Bachelor's
19,Advanced Programming,Bachelor's
19,Logic Circuits Design Laboratory,Bachelor's
19,Engineering Mathematics,Bachelor's
19,Microprocessors Laboratory,Bachelor's
19,Information Storage and Retrieval,Bachelor's
19,Design and Analysis of Algorithms,Bachelor's
19,Programming Principles,Bachelor's
19,Quick Programming Challenges,Bachelor's
19,Linear Algebra,Bachelor's
19,Advanced Programming,Bachelor's
19,Statistical Pattern Recognition,Master's
19,Advanced Engineering Mathematics,Master's
19,Information Theory,Master's
19,Mathematics for Data Science,Master's
19,Mathematics of Encryption,Master's
20,Computer Programming,Bachelor's
20,Introduction to Computer,Bachelor's
20,Computer Foundation and Programming,Bachelor's
20,Computational Geometry,Master's
20,Fundamentals of Computer and Programming For Engineering Students,Bachelor's
20,Numerical Analysis,Bachelor's
20,Fundamentals of Computer and Programming,Bachelor's
20,Advanced Programming,Bachelor's
20,Discrete Structures,Bachelor's
20,Data Structures and Algorithms I,Bachelor's
20,Numerical Analysis,Bachelor's
20,Information Storage and Retrieval,Bachelor's
20,Design & Implementation of Programming Languages,Bachelor's
20,Principles of Compiler Design,Bachelor's
20,Quick Programming Challenges,Bachelor's
20,Graph Theory and Algorhthms,Bachelor's
20,Randomized Algorithms,Master's
20,Computational Geometry,Master's
21,Special Topics in Sftwer Engineering,Master's
21,Special Topics in Software Engineering,Master's
21,Cloud Computing,Master's
21,Advanced operating system,Master's
21,Advanced Computer Architecture,Master's
21,Parallel algorithms,Master's
21,Special topics in softwer engineering,Master's
21,Advanced Computer Architecture,PhD
21,Virtual Machines,Master's
21,Fundamentals of Computer and Programming For Engineering Students,Bachelor's
21,Fundamentals of Computer and Programming,Bachelor's
21,Logic Circuits Design,Bachelor's
21,Logic Circuits Design Laboratory,Bachelor's
21,Computer Architecture,Bachelor's
21,Computer Architecture Laboratory,Bachelor's
21,Microprocessors Laboratory,Bachelor's
21,َMobile Programming,Bachelor's
21,Special Topics in Computer Engineering,Bachelor's
21,Special Topics in Software Development,Bachelor's
21,Advanced Operating Systems,Master's
21,Advanced Computer Architecture,Master's
21,Parallel Algorithms,Master's
21,Special Topics in Software Engineering,Master's
21,Cloud Computing,Master's
22,Advanced Embedded Systems,Master's
22,Microprocessor,Bachelor's
22,Dependable Systems,Master's
22,Interface Circuits Design,Bachelor's
22,Electronic Circuits,Bachelor's
22,Computer Laboratory,Bachelor's
22,Electric Circuits,Bachelor's
22,Logic Circuits Design,Bachelor's
22,Computer Architecture,Bachelor's
22,Microprocessors,Bachelor's
22,VLSI Systems Design,Bachelor's
22,Computer Aided Digital System Design,Bachelor's
22,Automated Digital System Design Laboratory,Bachelor's
22,Embeded Systems Design,Bachelor's
22,Robotics Lab,Bachelor's
22,Advanced Embedded Systemsَ,Master's
22,Hardware Test & Testability,Master's
22,Fault-Tolerant Systems Design,Master's
22,Reconfigurable Architectures,Master's
22,Dependable Systems,Master's
22,Hardware Security and Trust,Master's
23,Introduction to Computer,Bachelor's
23,Internet Engineering,Bachelor's
23,System Programming & Assembly Language,Bachelor's
23,Logic Circuits,Bachelor's
23,Operating Systems,Bachelor's
23,Operating Systems Lab,Bachelor's
23,Theory of Languages & Automata,Bachelor's
23,Design & Implementation of Programming Languages,Bachelor's
23,Distributed Operating Systems,Master's
23,Multi - agent Systems,Master's
23,Information Networks,PhD
23,Information Networks,Master's
23,Business Intelligence,Master's
23,Computer Architecture Lab.,Bachelor's
23,Design & Implementation of Programming Languages,Bachelor's
23,Software Engineering Lab.,Bachelor's
23,Physics Lab. II,Bachelor's
23,Logic Circuits Lab.,Bachelor's
23,Operating Systems,Bachelor's
23,Data Base Design Lab.,Bachelor's
23,Operating Systems Lab.,Bachelor's
23,Computer Lab.,Bachelor's
23,Computer Networks Lab.,Bachelor's
23,Operating Systems Lab.,Bachelor's
23,Design & Implementation of Programming Languages,Bachelor's
23,Fundamentals of Computer and Programming For Engineering Students,Bachelor's
23,Concurrent Programming,Bachelor's
23,Electric Circuits - Laboratory,Bachelor's
23,Computer Architecture,Bachelor's
23,Computer Architecture Laboratory,Bachelor's
23,Operating Systems,Bachelor's
23,Operating Systems Laboratory,Bachelor's
23,Electronic Circuits Laboratory,Bachelor's
23,Computer Networks,Bachelor's
23,Computer Networks Laboratory,Bachelor's
23,Information Storage and Retrieval,Bachelor's
23,Design & Implementation of Programming Languages,Bachelor's
23,Database Laboratory,Bachelor's
23,Formal Software Specification and Verification,Master's
23,Information Networks,Master's
23,Business Intelligence,Master's
23,Multi - agent Systems,Master's
23,ُScientific Computing and Data Analysis,Master's
23,Information Networks,PhD
24,Operating Systems,Bachelor's
24,Machine Learning,Master's
24,Advanced Decision Support Systems,Master's
24,network security,Master's
24,Machine learning,Master's
24,Machine learning,PhD
24,Decision Support Systems,PhD
24,Advanced Topics in Machine Learning,PhD
24,network security,PhD
24,Business to Business Electronic Commerce,Master's
24,Supply Chain Management,Master's
24,Security in Electronic Commerce,Master's
24,Mobile Electronic Commerce,Master's
24,Softwre Project Management,Master's
24,Advanced Topics in Software Development,Master's
24,Advanced Decision Support Systems,Master's
24,Management Information Systems,Master's
24,Decision Support Systems,Master's
24,Agent Oriented Design,Master's
24,Computer Architecture Lab.,Bachelor's
24,Advanced Programming,Bachelor's
24,Logic Circuits Lab.,Bachelor's
24,Computer Architecture Lab.,Bachelor's
24,Computer Lab.,Bachelor's
24,Computer Architecture,Bachelor's
24,Advanced Programming For Science Students,Bachelor's
24,Computer Laboratory,Bachelor's
24,System Programming & Assembly Language,Bachelor's
24,Data Structures and Algorithms I,Bachelor's
24,Logic Circuits Design Laboratory,Bachelor's
24,Computer Architecture Laboratory,Bachelor's
24,Operating Systems,Bachelor's
24,Operating Systems Laboratory,Bachelor's
24,Microprocessors Laboratory,Bachelor's
24,Digital Electronics Laboratory,Bachelor's
24,Decision Support Systems,Master's
24,Machine Learning,Master's
24,Advanced Artificial Intelligence,Master's
24,Advanced Topics in Machine Learning,Master's
24,network security,Master's
24,Special Topics in Machine Learning,PhD
24,Advanced Topics in Machine Learning,PhD
25,Data Mining,Bachelor's
25,Stochastic Processes I,Bachelor's
25,Time series I,Bachelor's
25,Continuous Multivariate Methods,Bachelor's
25,Statistical Projection,Bachelor's
25,Biostatistics,Bachelor's
25,Statistic 2 _Agriculture,Bachelor's
25,Probability & Statistics,Bachelor's
25,Prob. and Stat Engineers,Bachelor's
25,Elementary Stat .& prob.for Library,Bachelor's
25,Statistical Special Texts,Bachelor's
25,Probability 1,Bachelor's
25,ُStatistical Learning,Bachelor's
25,Continuous Multivariate Methods I,Bachelor's
25,Continuous Multivariate Methods II,Bachelor's
25,Time series 1,Bachelor's
25,Statistical Methods on Biology,Master's
25,Time series 2,Master's
25,Seminar,Master's
25,Probability & Mesure Theory 1,Master's
25,Probability & Mesure Theory 2,Master's
25,Applied in Environmental Statistics,Master's
25,Quantitative Methods in Tourism Research,Master's
25,M.S.c. Thesis,Master's
25,Advanced Probability and statistics,Master's
25,M.s.c. Thesis,Master's
25,Data Science basics,Master's
25,Data Science basics,Master's
25,Data Modelling and Visualization,Master's
25,Machine Learning,Master's
25,Statistical Analysis,Master's
25,Advanced Probability,PhD
25,Limit Theorms in Statistics,PhD
25,Probability theory 2,PhD
25,Advanced statistical analysis Methods & Software 1,PhD
25,Advanced Stochastic Process 1,PhD
25,Qualification exam,PhD
25,Advanced probability,PhD
25,thesis,PhD
25,thesis,PhD
25,thesis,PhD
25,thesis,PhD
25,PhD thesis,PhD
25,Advanced special topics in probability,PhD
25,PhD seminar,PhD
25,Advanced engineering statistics,PhD
25,Special topics in advanced stochastic processes,PhD
25,Special topics in statistics,PhD
25,Advanced Special Topics in Time Series,PhD
25,Statistics and probability for engineers,Bachelor's
25,Probability & Mesure Theory 1,Master's
25,Probability & Mesure Theory 2,Master's
25,Special Topics - Generalized Time series,Master's
25,Limit Theorms in Statistics,PhD
25,Advanced special topics in probability,PhD
25,Statistical Analysis,Master's
26,Introductory Statistics and Probability,Bachelor's
26,Introductory Statistics Methods,Bachelor's
26,Stochastic Processes I,Bachelor's
26,Introduction to Queuing Theory,Bachelor's
26,Economic Statistics 1,Bachelor's
26,Economic Statistics 2,Bachelor's
26,Biostatistics,Bachelor's
26,Statistic 2 _Agriculture,Bachelor's
26,Elementary Statistics,Bachelor's
26,Probability & Statistics,Bachelor's
26,Statistics and its Application in Management - Accounting,Bachelor's
26,Statistics and its application in Manangement 1,Bachelor's
26,Probability 1,Bachelor's
26,Probability 2,Bachelor's
26,Foundations Of Probability,Bachelor's
26,Probability 1,Bachelor's
26,Probability 2,Bachelor's
26,Official Statistics,Bachelor's
26,Official Statistics,Bachelor's
26,Stochastic Processes 1,Bachelor's
26,History of Statistics and Probablity,Bachelor's
26,Probability 1,Master's
26,Statistical Methods on Biology,Master's
26,Stochastic Processes 2,Master's
26,Probability & Mesure Theory 1,Master's
26,Probability & Mesure Theory 2,Master's
26,Special Topics,Master's
26,Statistical Analysis,Master's
26,Quantitative Methods in Tourism Research,Master's
26,Advanced Probability and statistics,Master's
26,Research Methods,Master's
26,Probability & Mesure Theory 1,Master's
26,Statistical Analysis,Master's
26,Advanced Mathematical Simulation and Modeling,PhD
26,Renewal process and Random walks,PhD
26,Advanced engineering statistics,PhD
26,Special topics in statistics,PhD
26,Queuing Systems,Master's
26,Statistics and probability for engineers,Bachelor's
26,Probability theory,PhD
26,Statistical Analysis,Master's
26,Mathematical Simulation and modeling,PhD
26,Statistical Analysis,Master's
26,Statistical Analysis,Master's
27,Introductory Statistics and Probability,Bachelor's
27,Statistical Methods I,Bachelor's
27,Data Mining,Bachelor's
27,Discrete Multivariate Methods,Bachelor's
27,Research methodology and statistical consulting,Bachelor's
27,Economic Statistics 1,Bachelor's
27,Biostatistics,Bachelor's
27,Probability & Statistics,Bachelor's
27,Mathematics and Statistics,Bachelor's
27,Statistics and probability for engineers,Bachelor's
27,Prob. and Stat Engineers,Bachelor's
27,Statistics and its Application in Management - Accounting,Bachelor's
27,Basic Computer,Bachelor's
27,Statistics and its application in Manangement 1,Bachelor's
27,Probability and Statistics,Bachelor's
27,Probability 1,Bachelor's
27,Applied Stat. and Prob.,Bachelor's
27,Statistics in Urban Planning,Bachelor's
27,Linear Algebra 1,Bachelor's
27,1 Regression,Bachelor's
27,Regression II,Bachelor's
27,Lab. Statistics,Bachelor's
27,Data Science basics,Master's
27,Data Science basics,Master's
27,Statistics and its Application in Management 1,Bachelor's
28,Introductory Statistics and Probability,Bachelor's
28,Design of Experiment I,Bachelor's
28,Design of Experiment II,Bachelor's
28,Statistical Methods II,Bachelor's
28,Linear Algebra 1,Bachelor's
28,Statistical Computation with Computer,Bachelor's
28,Statistical Quality Control I,Bachelor's
28,Biostatistics,Bachelor's
28,Elementary Statistics,Bachelor's
28,Statistics and probability for engineers,Bachelor's
28,Basic Computer,Bachelor's
28,Advanced Statistical Methods,Bachelor's
28,Foundations Of Probability,Bachelor's
28,Mathematical Statistics 1,Bachelor's
28,1 Regression,Bachelor's
28,Regression II,Bachelor's
28,Design of Experiment 1,Bachelor's
28,Design of Experiment 2,Bachelor's
28,Numerical Methoda and Simulation,Bachelor's
28,Lab. Statistics,Bachelor's
28,Statistical Inference 1,Master's
28,Statistical Methods on Biology,Master's
28,Quantitative Methods in Tourism Research,Master's
28,Probability and Statistical Inference,Master's
28,Statistical Simulation,Master's
28,Linear Models 1,Master's
28,Reliability,Master's
28,Statistical Analysis,Master's
28,Advanced statistical analysis Methods & Software 1,PhD
28,Advanced Mathematical Simulation and Modeling,PhD
28,Advanced statistical inference,PhD
28,Advanced special topics in linear models,PhD
28,Topics in computational statistics and simulation,PhD
28,Special topics in statistics,PhD
28,Special topics in statistics,PhD
28,Statistics and probability for engineers,Bachelor's
28,Statistical Analysis,Master's
29,Introductory Statistics and Probability,Bachelor's
29,Statistical Methods I,Bachelor's
29,Statistical Quality Control I,Bachelor's
29,Research methodology and statistical consulting,Bachelor's
29,Probability & Statistics,Bachelor's
29,Statistics and probability for engineers,Bachelor's
29,Basic Computer,Bachelor's
29,Probability 1,Bachelor's
29,Probability 1,Bachelor's
29,Introduction to Reliability Theory,Bachelor's
29,Foundations of Matrix & Linear Algebra 1,Bachelor's
29,Foundations of Matrix & Linear Algebra 2,Bachelor's
29,Mathematical Statistics 1,Bachelor's
29,Mathematical Statistics 2,Bachelor's
29,1 Regression,Bachelor's
29,Topics in Applied Statistics,Bachelor's
29,Lab. Statistics,Bachelor's
29,Statistical Inference 1,Master's
29,Statistical Inference 2,Master's
29,Statistical Analysis,Master's
29,Probability and Statistical Inference,Master's
29,Advanced Mathematical Simulation and Modeling,PhD
29,َAdvanced Reliability,PhD
29,Special topics in statistics,PhD
29,Statistical Analysis,Master's
30,Introductory Statistics and Probability,Bachelor's
30,Statistical Methods I,Bachelor's
30,Nonparametric statistics,Bachelor's
30,Topics in Statistics,Bachelor's
30,Biostatistics,Bachelor's
30,Elementary Statistics,Bachelor's
30,Probability & Statistics,Bachelor's
30,Mathematics and Statistics,Bachelor's
30,Statistics and probability for engineers,Bachelor's
30,Prob. and Stat Engineers,Bachelor's
